"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"              Property management                           ","MEAN",11.73,0,1.6,2.2,8.08,4.64,7.23,8.25,5.31,24.73
"              Property management                           ","SE",1.4,0,1.3,1.26,3.69,2,3.8,5.06,1.73,4.05
"              Management and upkeep services for security   ","MEAN",0.97,0.16,0,0.01,0.16,0.8,0.2,0.14,0.39,2.3
"              Management and upkeep services for security   ","SE",0.28,0.16,0,0.01,0.16,0.61,0.17,0.11,0.26,0.79
"            Parking                                         ","MEAN",0.58,0.85,0,0.35,0,0.05,0.41,0.13,0.3,1.25
"            Parking                                         ","SE",0.14,0.87,0,0.34,0,0.04,0.3,0.1,0.16,0.4
"        Housing while attending school                      ","MEAN",59.32,42.24,19.06,47.9,4.93,23.78,27.78,8.4,16.93,133.15
"        Housing while attending school                      ","SE",7.3,23.49,13.27,25.5,3.82,14,13.73,4.94,6.67,20.1
"        Lodging on out-of-town trips                        ","MEAN",392,92.55,78.88,85.46,118.2,114.33,221.31,243.2,294.58,816.99
"        Lodging on out-of-town trips                        ","SE",14.5,21.66,14.52,20.72,26.69,13.48,28.08,30.27,29.86,36.36
"    Utilities, fuels, and public services                   ","MEAN",3919.52,2253.63,2062.29,2413.54,2817.44,3165.05,3475.98,3736.57,4113.79,5257.09
"    Utilities, fuels, and public services                   ","SE",34.92,132.95,94.97,88.93,68.35,51.7,57.17,51.71,42.83,49.57
"      Natural gas                                           ","MEAN",438.98,198.45,213.27,235.85,295.7,323.86,367.95,431.55,443.96,630.45
"      Natural gas                                           ","SE",14.64,18.85,21.43,14.36,21.67,19.79,19.78,24.03,18.13,21.66
"        Utility-natural gas (renter)                        ","MEAN",88.86,84.13,110.53,88.89,83.17,100.92,116.35,107.94,93.79,68.19
"        Utility-natural gas (renter)                        ","SE",4.67,12.08,13.1,9.23,8.16,9.36,12.3,8.54,8.25,5.13
"        Utility-natural gas (owned home)                    ","MEAN",344.06,112.02,100.76,146.24,209.4,219.03,248.61,318.03,346.61,550.65
"        Utility-natural gas (owned home)                    ","SE",11.11,15.41,15.79,11.39,18.84,16,15.18,20.83,16.03,19.96
"        Utility-natural gas (owned vacation)                ","MEAN",3.94,0.38,0,0.08,2.48,1.39,0.39,5.32,2.98,8
"        Utility-natural gas (owned vacation)                ","SE",0.8,0.38,0,0.08,1.9,0.58,0.27,3.76,1.29,2.1
"        Utility-natural gas (rented vacation)               ","MEAN",2.13,1.93,1.99,0.64,0.66,2.52,2.6,0.26,0.58,3.61
"        Utility-natural gas (rented vacation)               ","SE",0.7,0.8,0.93,0.21,0.46,0.82,2.12,0.18,0.42,1.99
"      Electricity                                           ","MEAN",1483.79,1046.99,948.97,1082,1185.84,1299.76,1429.52,1438.46,1529.5,1820.65
"      Electricity                                           ","SE",20.17,85.15,57.91,53.81,35.58,34.44,36.41,31.71,26.73,25.23
"        Electricity (renter)                                ","MEAN",395.13,497.02,494.52,465.38,461.35,524.48,500.24,457.39,415.06,238.95
"        Electricity (renter)                                ","SE",10.76,46.8,41.79,30.21,30.48,21.53,25.67,22.28,24.63,10.27
"        Electricity (owned home)                            ","MEAN",1065.08,535.37,445.12,605.02,718.41,757.4,916.62,948.71,1102.97,1541.13
"        Electricity (owned home)                            ","SE",14.79,61.98,39.69,46.16,26.24,26.44,36.51,25.11,24.35,24.59
"        Electricity (owned vacation)                        ","MEAN",13.99,1.53,0.52,0.2,4.65,4.03,3.95,18.59,9.15,29.39
"        Electricity (owned vacation)                        ","SE",1.72,1.21,0.5,0.2,3.39,1.09,1.36,6.27,2.47,4.36
"        Electricity (rented vacation)                       ","MEAN",9.59,13.07,8.81,11.4,1.43,13.85,8.71,13.77,2.32,11.18
"        Electricity (rented vacation)                       ","SE",1.85,6.06,2.85,6.84,1.06,4.38,4.02,7.67,0.8,3.9
"      Fuel oil and other fuels                              ","MEAN",152.17,60.66,41.54,89.94,115.13,136.23,111.44,141.08,153.93,218.23
"      Fuel oil and other fuels                              ","SE",9.7,23.05,12.54,25.49,30.23,12.35,17.38,17.64,11.79,18.59
"        Fuel oil                                            ","MEAN",84.41,34.03,13.29,51.69,78.02,75.33,52.66,66.44,91.7,122.36
"        Fuel oil                                            ","SE",7.75,21.09,4.56,18.49,26.75,8.84,14.14,10.1,7.9,14.71
"          Fuel oil (renter)                                 ","MEAN",6.22,1.56,0.8,3.38,6.22,8.3,4.85,4.19,15.13,4.51
"          Fuel oil (renter)                                 ","SE",1.41,1.65,0.62,2.4,4.05,3.56,2.67,1.57,4.62,2.06
"          Fuel oil (owned home)                             ","MEAN",75.55,32.04,9.87,48.31,71.79,67.03,47.79,60.02,76.11,111.08
"          Fuel oil (owned home)                             ","SE",7.82,20.62,4.08,19.27,23.76,9.67,15.55,9.22,9.77,13.96
"          Fuel oil (owned vacation)                         ","MEAN",1.81,0,0,0,0,0,0.02,2.23,0.46,4.65
"          Fuel oil (owned vacation)                         ","SE",0.62,0,0,0,0,0,0.02,2.24,0.33,1.45
"          Fuel oil (rented vacation)                        ","MEAN",0.83,0.43,2.62,0,0,0,0,0,0,2.12
"          Fuel oil (rented vacation)                        ","SE",0.43,0.45,2.68,0,0,0,0,0,0,1.23
"        Coal, wood, and other fuels                         ","MEAN",10.15,2.64,0.98,3.08,2.68,11.6,9.09,12.49,11.19,13.92
"        Coal, wood, and other fuels                         ","SE",1.53,2.3,0.73,2.09,1.67,4.26,2.22,5.57,3.7,2.34
"          Coal, wood, other fuels (renter)                  ","MEAN",1.59,0.24,0.98,0,0,2.9,4.68,3.95,2.12,0.21
"          Coal, wood, other fuels (renter)                  ","SE",0.79,0.22,0.73,0,0,1.33,2.75,3.82,1.64,0.11
"          Coal, wood, other fuels (owned home)              ","MEAN",8.39,2.4,0,3.08,2.68,8.7,4.41,8.54,9.07,13.18
"          Coal, wood, other fuels (owned home)              ","SE",1.5,2.29,0,2.09,1.67,4.51,1.46,3.62,3.24,2.22
"          Coal, wood, other fuels (owned vacation)          ","MEAN",0.01,0,0,0,0,0,0,0,0,0.02
"          Coal, wood, other fuels (owned vacation)          ","SE",0.01,0,0,0,0,0,0,0,0,0.02
"          Coal, wood, other fuels (rented vacation)         ","MEAN",0.17,0,0,0,0,0,0,0,0,0.51
"          Coal, wood, other fuels (rented vacation)         ","SE",0.17,0,0,0,0,0,0,0,0,0.52
"        Bottled gas                                         ","MEAN",57.61,23.99,27.27,35.18,34.43,49.3,49.7,62.15,51.04,81.95
"        Bottled gas                                         ","SE",4.47,10.79,11.01,9.69,12.79,6.87,7.44,11.4,9.13,9.18
"          Gas, btld/tank (renter)                           ","MEAN",4.04,0.6,3.63,1.42,1.43,7.44,6.52,7.48,3.9,2.79
"          Gas, btld/tank (renter)                           ","SE",0.58,0.48,2.76,0.9,0.9,2.85,1.6,2.45,1.92,1.33
"          Gas, btld/tank (owned home)                       ","MEAN",49.03,23.39,23.24,31.85,28.35,37.56,40.46,50.84,44.68,71.26
"          Gas, btld/tank (owned home)                       ","SE",4.22,10.81,10.83,9.94,11.13,6.18,7.31,11.5,8.66,8.88
"          Gas, btld/tank (owned vacation)                   ","MEAN",4.1,0,0.4,0.41,4.65,3.37,2.71,3.83,2.46,7.21
"          Gas, btld/tank (owned vacation)                   ","SE",0.54,0,0.25,0.21,3.26,1.2,1.17,1.16,0.59,1.01
"          Gas, btld/tank (rented vacation)                  ","MEAN",0.43,0,0,1.49,0,0.93,0,0,0,0.69
"          Gas, btld/tank (rented vacation)                  ","SE",0.26,0,0,1.47,0,0.96,0,0,0,0.63
"      Telephone services                                    ","MEAN",1315.29,671.89,606.28,699.51,853.48,973.9,1123.14,1234.97,1440.59,1849.81
"      Telephone services                                    ","SE",14.65,34.45,29.86,29.21,29.75,27.29,22.87,21.65,22.87,20.22
"        Residential telephone/pay phones (thru Q20131)      ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Cellular phone service                              ","MEAN",962.69,429.14,390.71,433.89,523.37,660.45,791.95,907.74,1089.65,1415.99
"        Cellular phone service                              ","SE",13.87,28.06,23.17,23.85,25.59,22.49,24.37,22.45,22.65,17.02
"        Phone cards                                         ","MEAN",11.97,9.27,18.13,16.63,16.02,14.87,16.35,15.6,9.37,7.72
"        Phone cards                                         ","SE",1,2.7,5.43,3.61,3.17,2.11,2.97,2.62,1.34,1.52
"        Voice over IP service (thru Q20131)                 ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Residential telephone including VOIP (new UCC Q20132","MEAN",340.63,233.48,197.43,248.99,314.1,298.58,314.83,311.62,341.57,426.09
"        Residential telephone including VOIP (new UCC Q20132","SE",4.72,23.22,15.33,14.09,14.26,12.12,11.04,13.12,10.15,8.86
"      Water and other public services                       ","MEAN",529.29,275.63,252.22,306.23,367.29,431.3,443.92,490.51,545.81,737.95
"      Water and other public services                       ","SE",12.44,23.99,21.86,21.37,17.2,16.15,18.47,15.24,18.06,16.54
"        Water and sewerage maintenance                      ","MEAN",389.69,200.44,190.02,222.53,282.38,307.86,336.12,362.88,405.19,540.05
"        Water and sewerage maintenance                      ","SE",10.02,16.52,17.83,13.32,15.99,13.03,15.14,12.31,15.32,13.56
"          Water/sewer maint. (renter)                       ","MEAN",77.15,84.13,72.99,71.38,74.33,88.83,86.46,86.16,95.39,61.15
"          Water/sewer maint. (renter)                       ","SE",3.62,11.08,11.5,6.91,8.35,7.08,6.63,6.84,9.38,3.82
"          Water/sewer maint. (owned home)                   ","MEAN",306.6,115.08,114.37,150.35,207.2,214.65,246.5,267.27,306.37,468.35
"          Water/sewer maint. (owned home)                   ","SE",7.21,12.17,12.69,11.78,13.4,10.52,12.13,10.76,11.79,12.02
"          Water/sewer maint. (owned vacation)               ","MEAN",3.28,0.27,0,0,0.85,0.79,1.62,4.86,2.57,6.51
"          Water/sewer maint. (owned vacation)               ","SE",0.56,0.27,0,0,0.79,0.41,1.14,2.64,0.9,1.32
"          Water/sewer maint. (rented vacation)              ","MEAN",2.65,0.95,2.66,0.8,0,3.6,1.55,4.58,0.87,4.04
"          Water/sewer maint. (rented vacation)              ","SE",0.52,0.53,1.23,0.61,0,1.3,0.94,3.07,0.45,1.08
"        Trash and garbage collection                        ","MEAN",133.96,73.26,60.78,82.7,80.13,121.04,104.86,120.35,136.46,187.97
"        Trash and garbage collection                        ","SE",4.7,9.73,6.72,12.81,5.92,9.71,5.89,7.55,6.77,6.31
"          Trash/garb. coll. (renter)                        ","MEAN",18.98,24.25,17.21,17.21,15.34,21.52,19.78,21.87,24.38,15.28
"          Trash/garb. coll. (renter)                        ","SE",0.95,4.45,3.67,2.5,2.49,2.66,1.9,2.67,1.73,0.93
"          Trash/garb. coll. (owned home)                    ","MEAN",110.42,47.6,42.39,64.5,63.19,97.42,82.59,95.36,109.54,163.24
"          Trash/garb. coll. (owned home)                    ","SE",4.05,6.93,5.6,12.77,4.89,9.61,4.93,6.46,6.37,5.91
"          Trash/garb. coll. (owned vacation)                ","MEAN",3.57,0.62,0,0.47,1.6,1.5,1.75,3.12,2.05,7.46
"          Trash/garb. coll. (owned vacation)                ","SE",0.51,0.44,0,0.34,1,0.8,0.6,1.9,0.59,1.42
"          Trash/garb. coll. (rented vacation)               ","MEAN",1,0.8,1.18,0.51,0,0.61,0.74,0,0.49,1.99
"          Trash/garb. coll. (rented vacation)               ","SE",0.36,0.43,0.84,0.24,0,0.31,0.42,0,0.3,1.05
"        Septic tank cleaning                                ","MEAN",5.64,1.93,1.41,1,4.78,2.39,2.95,7.28,4.15,9.93
"        Septic tank cleaning                                ","SE",1.11,1.7,1.21,0.88,1.98,1.17,1.52,3.66,1.23,2.63
"          Septic tank clean. (renter)                       ","MEAN",0.15,0.28,0.31,0,0.05,0.43,0,0.1,0.22,0.1
"          Septic tank clean. (renter)                       ","SE",0.07,0.28,0.3,0,0.05,0.29,0,0.1,0.23,0.12
"          Septic tank clean. (owned home)                   ","MEAN",5.34,1.66,1.11,1,4.73,1.97,2.95,7.18,3.93,9.39
"          Septic tank clean. (owned home)                   ","SE",1.05,1.67,1.18,0.88,1.99,0.96,1.52,3.66,1.19,2.5
"          Septic tank clean. (owned vacation)               ","MEAN",0.15,0,0,0,0,0,0,0,0,0.44
"          Septic tank clean. (owned vacation)               ","SE",0.15,0,0,0,0,0,0,0,0,0.44
"          Septic tank clean. (rented vacation)              ","MEAN",0,0,0,0,0,0,0,0,0,0
"    Household operations                                    ","MEAN",1154.39,365.94,402.76,462.73,609.71,632.6,671.33,733.98,942.84,2132.81
"    Household operations                                    ","SE",31.25,43.25,37.98,78.28,86.75,33.97,30.42,31.84,34.1,70.74
"      Personal services                                     ","MEAN",366.24,44.47,86.9,130.61,143.96,108.63,137.93,151.55,233.11,809.92
"      Personal services                                     ","SE",22.89,17.06,18.55,66.75,76.35,27.42,22.77,28.35,29.74,58.23
"        Babysitting and child care in your own home (thru   ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Babysitting and child care in someone else''s home  ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Babysitting and child care (new UCC Q20132)         ","MEAN",90.94,6.42,32.96,16.43,21.08,33.26,34.17,35.38,42.77,211.25
"        Babysitting and child care (new UCC Q20132)         ","SE",9.89,3.11,14.15,9.15,6.3,8.66,8.4,10.92,8.89,26.93
"        Care for elderly, invalids, handicapped, etc.       ","MEAN",23.97,0,1.69,63.37,92.4,14.86,14.21,-10.48,4.3,32.72
"        Care for elderly, invalids, handicapped, etc.       ","SE",10.94,0,1.52,50.41,72.53,17.31,6.8,10.5,2.83,21.46
"        Adult day care centers                              ","MEAN",2.63,0,0,31.44,3.14,0,0.7,2.29,0.02,0.32
"        Adult day care centers                              ","SE",1.99,0,0,30.78,3.02,0,0.73,2.28,0.02,0.17
"        Day care centers, nursery, and preschools           ","MEAN",248.7,38.05,52.25,19.36,27.34,60.51,88.84,124.36,186.02,565.62
"        Day care centers, nursery, and preschools           ","SE",14.91,16.39,16.11,7.73,12.84,19.18,19.73,23.15,27.18,42.48
"      Other household expenses                              ","MEAN",788.15,321.47,315.86,332.12,465.75,523.98,533.4,582.43,709.73,1322.89
"      Other household expenses                              ","SE",16.07,37.78,31.05,23.04,27.97,22.54,19.43,19.38,24.91,28.18
"        Housekeeping services                               ","MEAN",129.69,28.03,33.13,24.24,50.88,63.73,56.81,48.8,75.76,281.84
"        Housekeeping services                               ","SE",7.96,9.03,11.45,5.63,8,10.54,9.52,10.36,8.96,20.87
"        Gardening, lawn care service                        ","MEAN",133.66,41.78,37.33,46.56,78.01,78.56,85.81,71.05,106.57,248.42
"        Gardening, lawn care service                        ","SE",5.83,9.89,10.66,9.32,10.98,8.54,9.23,7.64,11.32,11.43
"        Water softening service                             ","MEAN",5.34,3.35,1.63,3.5,6.31,4.12,4.09,3.55,6.06,7.21
"        Water softening service                             ","SE",0.61,0.81,0.97,1.32,2.64,1.12,1.02,1.49,0.98,0.96
"        Household laundry and dry cleaning, sent out        ","MEAN",1.12,1.84,0,0.28,0.83,0.4,0.13,0.82,0.67,2.21
"        Household laundry and dry cleaning, sent out        ","SE",0.18,1.43,0,0.14,0.53,0.15,0.09,0.46,0.3,0.39
"        Coin-operated household laundry and dry cleaning    ","MEAN",4.02,3.25,4.66,4.95,5.26,5.53,4.39,5.68,3.53,2.77
"        Coin-operated household laundry and dry cleaning    ","SE",0.42,0.95,1.36,0.83,1.79,1.08,0.55,1.1,0.5,0.43
"        Services for termite/pest control                   ","MEAN",18.48,6.03,5.38,5.13,9.63,8.08,10.78,12.78,14.01,35.61
"        Services for termite/pest control                   ","SE",1.19,2.28,2.47,1.38,2.78,1.29,1.81,1.92,2.4,2.53
"        Home security system service fee                    ","MEAN",28.41,12.99,6.03,8.96,17,15.41,19.22,16.71,22.7,52.25
"        Home security system service fee                    ","SE",1.46,4.38,2.52,2.15,5.93,2.86,3.18,2.7,2.12,2.91
"        Other home services                                 ","MEAN",18.44,8.21,5.56,3.93,11.18,10.13,13.29,9.32,13.31,34.79
"        Other home services                                 ","SE",1.81,4.51,3.9,1.46,3.57,2.31,3.06,2.76,3,4.65
"        Termite/pest control products                       ","MEAN",4.62,1.51,1.34,1.28,2.41,2.02,2.7,3.19,3.5,8.9
"        Termite/pest control products                       ","SE",0.3,0.57,0.62,0.35,0.7,0.32,0.45,0.48,0.6,0.63
"        Moving, storage, freight                            ","MEAN",54.6,26.85,49.05,21.94,39.52,44.03,13.11,17.9,51.43,96.18
"        Moving, storage, freight                            ","SE",4.78,14.5,12.93,11.08,11.78,10.52,5.48,2.93,11.95,14.8
"        Appliance repair, including service center          ","MEAN",12.22,3.61,6.86,10.25,7.54,8.49,9.07,9.35,11.07,18.95
"        Appliance repair, including service center          ","SE",0.64,1.52,1.56,2.76,2.64,1.78,1.96,2.29,1.99,1.57
"        Reupholstering, furniture repair                    ","MEAN",5.14,0.77,0.26,0.21,1.25,2.02,1.75,3.23,3.47,11.43
"        Reupholstering, furniture repair                    ","SE",0.81,0.73,0.22,0.18,0.68,0.75,1,1.52,1.43,2.18
"        Repairs/rentals of lawn and garden equipment, hand o","MEAN",7.14,0.29,3.51,2.91,1.46,5.59,3.82,4.43,9.44,11.81
"        Repairs/rentals of lawn and garden equipment, hand o","SE",0.73,0.23,1.5,1.72,0.69,2.73,1.19,1.63,3.21,1.32
"        Appliance rental                                    ","MEAN",1.25,1.48,1.42,1.99,1.96,2.11,1.01,1.83,1.18,0.57
"        Appliance rental                                    ","SE",0.33,0.85,1.15,1.1,1.73,1.17,0.49,1.56,0.59,0.21
"        Rental of office equipment for nonbusiness use      ","MEAN",1.09,0.24,0.04,4.08,0.13,4.43,1.17,0.43,0.04,0.36
"        Rental of office equipment for nonbusiness use      ","SE",0.57,0.24,0.04,2.57,0.09,4.44,0.75,0.3,0.04,0.13
"        Repair of computer systems for nonbusiness use      ","MEAN",4.78,3.33,1.37,1.12,3.98,5.72,3.75,4.41,3.29,6.97
"        Repair of computer systems for nonbusiness use      ","SE",0.43,1.92,1.09,0.61,1.41,1.53,1.38,1.25,0.85,0.88
"        Computer information services (internet)            ","MEAN",357.79,177.78,158.27,190.65,228.1,263.27,302.47,368.63,383.4,501.99
"        Computer information services (internet)            ","SE",6.46,14.52,11.66,10.01,9.72,10.19,9.99,10.89,7.61,6.84
"        Installation of computer                            ","MEAN",0.36,0.1,0,0.15,0.32,0.34,0.02,0.31,0.31,0.64
"        Installation of computer                            ","SE",0.1,0.1,0,0.15,0.33,0.26,0.02,0.3,0.28,0.29
"        Rental and installation of dishwashers, range hoods,","MEAN",0,0,0,0,0,0,0,0,0,0
"    Household furnishings and equipment                     ","MEAN",1221.7,479.75,438.44,369.54,657.18,636.68,781.48,920.03,1165.16,2144.01
"    Household furnishings and equipment                     ","SE",30.18,75.93,59.45,28.97,72.33,31.15,53.37,71.23,53.55,76.69
"      Household textiles                                    ","MEAN",65.58,31.43,25.3,26.7,35.6,31.95,42.17,53.54,62.27,112.41
"      Household textiles                                    ","SE",2.36,6.93,6.3,5.61,3.47,3.05,4.38,5.24,4.38,6.47
"        Bathroom linens                                     ","MEAN",10.31,5.3,3.75,3.44,6.16,6.12,5.24,10.09,8.91,17.65
"        Bathroom linens                                     ","SE",0.44,1.09,0.79,0.6,0.94,0.74,0.75,1.54,1.01,1.08
"        Bedroom linens                                      ","MEAN",36.59,15.29,13.16,15.96,22.32,17.68,23.79,30.88,36.89,61.27
"        Bedroom linens                                      ","SE",1.21,3.34,2.17,3.18,2.99,1.87,2.5,2.95,2.49,2.71
"        Kitchen and dining room linens (thru Q20131)        ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Curtains and draperies                              ","MEAN",12.38,5.12,6.97,2.78,3.63,3.89,8.3,9.42,11.18,23.19
"        Curtains and draperies                              ","SE",1.6,2.44,5.25,1.06,1.32,0.96,2.58,2.96,3.37,5.61
"        Slipcovers, decorative pillows                      ","MEAN",4.21,4.54,1.15,4.06,1.85,3.05,3.77,2.08,3.57,6.37
"        Slipcovers, decorative pillows                      ","SE",0.43,3.06,0.44,2.74,0.71,0.95,0.84,0.46,0.74,0.54
"        Other linens (thru Q20131)                          ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Sewing materials for slipcovers, curtains, other    ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Kitchen, dining room, other linens (new UCC Q20132) ","MEAN",2.1,1.18,0.28,0.47,1.63,1.21,1.06,1.06,1.72,3.92
"        Kitchen, dining room, other linens (new UCC Q20132) ","SE",0.16,0.49,0.12,0.15,0.42,0.33,0.2,0.25,0.32,0.37
"      Furniture                                             ","MEAN",386.74,158.97,107.46,102.89,197.82,185.06,244.8,280.16,348.51,704.31
"      Furniture                                             ","SE",14.05,50.2,22.53,14.42,32.78,21.45,25.09,40.01,27.13,42.01
"        Mattress and springs                                ","MEAN",68.79,30.09,19.04,10.73,34.16,36.56,55.31,62.94,91.66,105.68
"        Mattress and springs                                ","SE",4.39,12.37,7.28,2.63,11.76,8.91,9.05,14.81,12.87,12.2
"        Other bedroom furniture                             ","MEAN",68.71,24.52,19.35,23.72,49.41,32.82,35.06,68.97,59.92,120.25
"        Other bedroom furniture                             ","SE",5.77,9.86,6.84,5.89,12.88,6.55,7.99,22.45,12.31,13.34
"        Sofas                                               ","MEAN",107.63,54.78,34.08,25.02,46.33,50.49,75.41,65.03,88.35,201.57
"        Sofas                                               ","SE",8.13,27.2,10.22,7.08,9.51,8.86,14.47,11.66,9.15,20.39
"        Living room chairs                                  ","MEAN",29.75,4.87,11.79,20.32,12.65,20.6,25.97,21.22,27.68,48.17
"        Living room chairs                                  ","SE",2.31,2.17,5.19,6.56,3.89,4.42,6.65,5.36,5.6,5.22
"        Living room tables                                  ","MEAN",11.64,5.27,1.61,2.27,3.48,6.79,10.06,6,11.62,20.86
"        Living room tables                                  ","SE",1.3,3.24,0.74,1.09,1.86,2.9,2.88,1.77,2.77,3.28
"        Kitchen, dining room furniture                      ","MEAN",32,15.04,7.97,5.98,19.58,12.75,12.2,18.06,18.16,67.29
"        Kitchen, dining room furniture                      ","SE",2.77,9.52,2.89,3.34,4.13,3.36,3.67,4.83,4.38,8.75
"        Infants'' furniture                                 ","MEAN",7.82,1.38,4.57,3.28,1.01,2.31,8.73,6.3,7.96,13.36
"        Infants'' furniture                                 ","SE",0.94,1.06,3.06,1.35,0.52,0.95,4.04,2.05,2.71,2.17
"        Outdoor furniture                                   ","MEAN",26.08,10.99,5.67,1.56,21.69,3.5,9.55,9.63,17.27,57.48
"        Outdoor furniture                                   ","SE",2.83,4.05,2.55,0.97,15.3,1.17,2.33,2.42,3.3,8.32
"        Wall units, cabinets and other occasional furniture ","MEAN",34.3,12.03,3.37,10.02,9.53,19.24,12.49,22.03,25.89,69.64
"        Wall units, cabinets and other occasional furniture ","SE",3.18,5.64,1.4,4.84,4.29,5.98,2.94,5.14,5.35,8.25
"      Floor coverings                                       ","MEAN",18.18,4.86,3.4,3.74,5.76,5.3,6.85,15.33,9.27,39.69
"      Floor coverings                                       ","SE",1.99,2.19,0.99,1.21,1.78,1.33,2.61,4.28,1.61,5.77
"        Floor coverings, nonpermanent                       ","MEAN",18.18,4.86,3.4,3.74,5.76,5.3,6.85,15.33,9.27,39.69
"        Floor coverings, nonpermanent                       ","SE",1.99,2.19,0.99,1.21,1.78,1.33,2.61,4.28,1.61,5.77
"      Major appliances                                      ","MEAN",221.52,66.76,96.69,71.93,115.91,150.15,176.31,125.71,214.72,375.66
"      Major appliances                                      ","SE",10.44,17.48,29.68,15.89,21.71,22.23,23.38,16.05,18.91,25.74
"        Dishwashers (built-in), garbage disposals, range    ","MEAN",0.87,0,0,0,0.64,0.3,0,2.09,2.26,0.88
"        Dishwashers (built-in), garbage disposals, range    ","SE",0.25,0,0,0,0.65,0.05,0,1.37,0.99,0.51
"        Dishwashers (built-in), garbage disposals, range    ","MEAN",18.36,0,5.78,1.13,7.71,11.66,8.46,18.75,15.38,34.55
"        Dishwashers (built-in), garbage disposals, range    ","SE",1.83,0,5.78,1.16,3.28,4.71,2.72,5.87,4.03,4.79
"        Refrigerators, freezers (renter)                    ","MEAN",7.35,4.69,2.4,4.79,4.95,3.98,10.73,9.1,15.59,5.44
"        Refrigerators, freezers (renter)                    ","SE",1.3,1.87,1.35,2.87,2.85,2.16,3.39,5.64,4.18,2.11
"        Refrigerators, freezers (owned home)                ","MEAN",59.59,6.94,21.02,9.64,34.55,45.79,47.8,24.52,53.12,106.86
"        Refrigerators, freezers (owned home)                ","SE",5.17,0.95,12.37,5.67,12.63,12.74,12.63,7.17,9.7,12.75
"        Washing machines (renter) (thru Q20131)             ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Washing machines (owned home) (thru Q20131)         ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Clothes dryers (renter) (thru Q20131)               ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Clothes dryers (owned home) (thru Q20131)           ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Clothes washer or dryer (renter) (new UCC Q20132)   ","MEAN",10.56,11.64,12.39,6.59,9.22,13.85,20.88,8.53,9.94,7.66
"        Clothes washer or dryer (renter) (new UCC Q20132)   ","SE",1.57,5.71,7.43,4.06,4.96,5.45,6.88,2.9,3.92,1.92
"        Clothes washer or dryer (owned home) (new UCC Q20132","MEAN",49.42,16.38,38.95,17.53,18.7,28.17,33.83,24.09,48.55,87.01
"        Clothes washer or dryer (owned home) (new UCC Q20132","SE",3.88,6.58,24.87,6.88,7.64,7.48,8.5,6.72,9.03,8.83
"        Cooking stoves, ovens (renter)                      ","MEAN",2.04,0.84,0.76,1.87,5.55,1.3,5.22,1.66,3.02,0.67
"        Cooking stoves, ovens (renter)                      ","SE",0.41,0.78,0.55,1.58,3.79,0.73,1.87,0.95,1.21,0.14
"        Cooking stoves, ovens (owned home)                  ","MEAN",29.48,7.09,1.55,12.63,12.73,16.13,14.58,5.26,25.84,59.81
"        Cooking stoves, ovens (owned home)                  ","SE",3.78,5.19,1.55,8.42,6.93,5.66,4.13,2.28,5.61,10.07
"        Microwave ovens (renter)                            ","MEAN",2.83,5.04,4.19,4.45,2.26,4,2.04,4.04,2.99,1.6
"        Microwave ovens (renter)                            ","SE",0.24,1.45,1.78,1.47,0.54,0.78,0.65,0.96,0.55,0.34
"        Microwave ovens (owned home)                        ","MEAN",11.04,0.97,0.66,1.24,6.61,6.49,7.17,6.76,13.54,19.38
"        Microwave ovens (owned home)                        ","SE",1.1,0.64,0.38,1.01,2.23,2.16,1.85,3.86,3.98,2.01
"        Portable dishwasher (renter)                        ","MEAN",0.06,0,0,0,0.52,0,0.14,0.15,0,0
"        Portable dishwasher (renter)                        ","SE",0.04,0,0,0,0.52,0,0.14,0.15,0,0
"        Portable dishwasher (owned home)                    ","MEAN",0.38,0,0,0,0,0.61,0,0,0.41,0.75
"        Portable dishwasher (owned home)                    ","SE",0.2,0,0,0,0,0.62,0,0,0.43,0.52
"        Window air conditioners (renter)                    ","MEAN",1.24,0.98,1.58,1.3,0.78,0.19,1.66,1.63,2.14,1.07
"        Window air conditioners (renter)                    ","SE",0.29,0.54,0.84,0.99,0.49,0.15,0.6,1.19,0.96,0.64
"        Window air conditioners (owned home)                ","MEAN",4.46,0,1.7,3.53,3.05,1.95,2.84,2.37,6.46,6.97
"        Window air conditioners (owned home)                ","SE",0.77,0,1.37,2.02,1.99,1.15,1.21,1.35,1.89,1.78
"        Electric floor cleaning equipment                   ","MEAN",18.37,4.4,4.79,7.19,6.67,12.59,10.42,15.07,14.2,33.6
"        Electric floor cleaning equipment                   ","SE",1.29,2.06,1.87,1.52,1.64,1.84,1.77,5.47,2.98,3.53
