"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"      Food on out-of-town trips                             ","SE",8.22,10.25,9.95,15.98,14.11,9.95,13.91,14.6,12.7,19.51
"      School lunches                                        ","MEAN",48.22,23.05,4.67,6.07,3.08,14.04,22.07,29.63,43.32,101.16
"      School lunches                                        ","SE",2.9,12.15,1.7,2.67,0.88,2.7,4.23,4.8,4.38,6.7
"      Meals as pay                                          ","MEAN",27.76,7.55,27.62,12.28,39.37,39.86,17.12,31.95,25.26,30.45
"      Meals as pay                                          ","SE",3.81,2.23,11.55,4.5,9.97,10.64,4.74,8.57,8.09,5.64
"  Alcoholic beverages                                       ","MEAN",462.59,221.08,133.48,140.28,197.8,191.6,252.19,322.63,385.49,850.28
"  Alcoholic beverages                                       ","SE",17.5,33.93,24.83,25.84,25.01,22.27,29.25,27.64,32.81,38.25
"    At home                                                 ","MEAN",248.6,139.82,91.29,68.41,107.91,123.13,157.31,172.71,217.55,433.7
"    At home                                                 ","SE",10.74,24.56,20.22,15.29,20.75,16.34,22.81,19.02,18.59,22.47
"      Beer and ale                                          ","MEAN",113.29,84.19,66.34,49.95,60.73,72.56,88.88,91.27,108.48,169.98
"      Beer and ale                                          ","SE",5,21.22,18.73,14.29,14.03,9.38,13.66,11.62,11.93,9.16
"      Whiskey                                               ","MEAN",9.84,14.15,0,1.55,3.38,7.43,5.3,6.5,8.81,16.36
"      Whiskey                                               ","SE",1.45,10.47,0,1.54,2.45,3.51,3.16,2.69,2.94,3.25
"      Wine                                                  ","MEAN",105.03,23.81,23.42,9.65,32.44,38.34,49.14,56.9,77.61,214.1
"      Wine                                                  ","SE",7.73,7.13,7.76,2.68,8.75,8.91,13.61,12.06,9.99,18.05
"      Other alcoholic beverages                             ","MEAN",20.44,17.66,1.54,7.26,11.35,4.8,13.99,18.03,22.65,33.26
"      Other alcoholic beverages                             ","SE",1.72,6.57,1.69,3.9,5.6,1.9,4.78,4.67,5.5,3.46
"    Away from home                                          ","MEAN",213.99,81.26,42.19,71.87,89.9,68.47,94.88,149.92,167.94,416.58
"    Away from home                                          ","SE",9.89,20.37,11.49,15.58,13.83,10.29,14.12,15.12,20.45,23.93
"      Beer and ale                                          ","MEAN",70.88,35.5,12.33,30.28,32.42,28.96,42.61,61.5,65.97,121.19
"      Beer and ale                                          ","SE",4.39,15.01,5.28,10.72,7.2,4.86,8.79,6.98,10.23,9.84
"        Beer and ale at fast food, take-out, delivery,      ","MEAN",11.02,6.2,0,5.78,5.49,4.06,11.24,8.68,10.05,17.79
"        Beer and ale at fast food, take-out, delivery,      ","SE",1.06,5.01,0,3.07,2.59,1.45,4.45,3.08,3.08,1.68
"        Beer and ale at full service restaurants            ","MEAN",58.58,29.3,12.33,17.77,26.62,24.85,31.37,52.82,54.07,101.67
"        Beer and ale at full service restaurants            ","SE",3.92,11.04,5.28,6.89,6.21,4.51,6.9,6.72,8.38,9.43
"        Beer and ale at vending machines and mobile vendors ","MEAN",0.84,0,0,6.73,0.31,0.05,0,0,0.96,0.81
"        Beer and ale at vending machines and mobile vendors ","SE",0.47,0,0,5.56,0.3,0.05,0,0,0.99,0.3
"        Beer at employer                                    ","MEAN",0.45,0,0,0,0,0,0,0,0.89,0.92
"        Beer at employer                                    ","SE",0.39,0,0,0,0,0,0,0,0.92,1.04
"        Beer at board                                       ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Beer and ale at catered affairs                     ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Wine                                                  ","MEAN",38.72,8.45,9.1,5.05,13.91,8.54,11.82,19.72,23.76,84.41
"      Wine                                                  ","SE",3.35,4.58,1.93,3,5.56,2.73,4.06,4.68,4.59,9.37
"        Wine at fast food, take-out, delivery, concession   ","MEAN",2.12,0.57,0,0,1.04,0.01,1.56,1.11,1.49,4.45
"        Wine at fast food, take-out, delivery, concession   ","SE",0.5,0.59,0,0,1.05,0.01,1.24,0.94,0.79,1.18
"        Wine at full service restaurants                    ","MEAN",36.19,7.13,9.1,5.05,10.92,8.49,10.26,18.62,21.74,79.5
"        Wine at full service restaurants                    ","SE",3.14,4.41,1.93,3,4.25,2.73,3.92,4.65,4.48,8.85
"        Wine at vending machines and mobile vendors         ","MEAN",0.17,0.75,0,0,0,0.04,0,0,0.53,0.16
"        Wine at vending machines and mobile vendors         ","SE",0.1,0.84,0,0,0,0.04,0,0,0.5,0.17
"        Wine at employer                                    ","MEAN",0.23,0,0,0,1.95,0,0,0,0,0.3
"        Wine at employer                                    ","SE",0.17,0,0,0,2.06,0,0,0,0,0.31
"        Wine at board                                       ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Wine at catered affairs                             ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Other alcoholic beverages                             ","MEAN",53.59,24.3,10.95,22.74,28.66,19.12,17.5,37.46,38.5,103.42
"      Other alcoholic beverages                             ","SE",4.08,8.41,6.36,6.18,8.09,6.09,4.81,8.75,8.28,10.67
"        Other alcoholic beverages at fast food, take-out,   ","MEAN",2.98,0.57,3.04,2.11,5.02,2.69,1.87,2.19,4.99,2.77
"        Other alcoholic beverages at fast food, take-out,   ","SE",0.46,0.54,2.1,1.06,2.62,1.97,0.87,1.06,1.39,0.57
"        Other alcoholic beverages at full service restaurant","MEAN",50.06,23.74,7.91,20.62,23.63,16.18,14.93,34.79,33.38,99.53
"        Other alcoholic beverages at full service restaurant","SE",3.92,8.48,5.02,6.12,7.59,4.79,4.36,8.42,8.09,10.7
"        Other alcoholic beverages at vending machines and   ","MEAN",0.16,0,0,0,0,0.1,0.69,0.48,0.07,0.08
"        Other alcoholic beverages at vending machines and   ","SE",0.09,0,0,0,0,0.07,0.69,0.35,0.07,0.05
"        Other alcohol at employer                           ","MEAN",0.39,0,0,0,0,0.16,0,0,0.06,1.04
"        Other alcohol at employer                           ","SE",0.28,0,0,0,0,0.14,0,0,0.06,0.82
"        Other alcohol at board                              ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Other alcoholic beverages at catered affairs        ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Alcoholic beverages purchased on trips                ","MEAN",50.8,13,9.82,13.8,14.91,11.84,22.95,31.24,39.71,107.56
"      Alcoholic beverages purchased on trips                ","SE",2.52,2.64,1.72,4.51,3.83,2,3.23,4.41,4.4,6.08
"  Housing                                                   ","MEAN",17798.47,9496.37,8961.39,9363.28,10809.75,12156.24,13534.51,15155.47,17034.39,27296.75
"  Housing                                                   ","SE",212.97,478.89,312.32,260.3,254.65,225.49,218.67,215.17,316.23,355.71
"    Shelter                                                 ","MEAN",10492.67,6004.45,5594.69,5627.19,6287.85,7092.67,7786.38,8896.78,9804.07,16240.71
"    Shelter                                                 ","SE",143.74,383.35,255.78,238.07,199.09,193.39,203.14,191.46,257.85,248.04
"      Owned dwellings                                       ","MEAN",6160.62,1873.56,1619.68,1867.56,2403.99,2810.82,3572.45,4229.11,5541.02,11642.63
"      Owned dwellings                                       ","SE",95.76,185.99,204.85,164.05,148.35,183.49,160.3,153.42,238.08,213.36
"        Mortgage interest and charges                       ","MEAN",2953.16,673.84,555.29,549.49,748.76,961.11,1456.01,1874.67,2603.79,6063.99
"        Mortgage interest and charges                       ","SE",66.35,130.79,110.32,79.36,75.75,97.69,90.2,87.75,99.03,149.67
"          Mortgage interest                                 ","MEAN",2834.84,647.94,547.1,535.77,726.29,916.29,1415.79,1793.3,2487.79,5819.36
"          Mortgage interest                                 ","SE",64.19,127,110,76.89,73.69,96.59,89,88.51,96.82,142.56
"          Interest paid, home equity loan                   ","MEAN",45.21,16.17,3.9,4.37,4.27,22.87,19.62,39.92,45.4,87.36
"          Interest paid, home equity loan                   ","SE",5.01,10.1,2.09,2.82,1.85,8.73,4.51,13.22,11.98,11.85
"          Interest paid, home equity line of credit         ","MEAN",73.11,9.72,4.3,9.35,18.21,21.96,20.6,41.45,70.59,157.27
"          Interest paid, home equity line of credit         ","SE",5.67,3.97,2.29,3.66,6.33,6.96,7.32,7.63,12.83,13.35
"        Property taxes                                      ","MEAN",1903.57,767.74,517.22,752.71,930.1,1015.72,1181.53,1348.19,1639.44,3441.46
"        Property taxes                                      ","SE",42.11,66.08,48.2,56.59,56.99,58.11,62.13,72.05,71.27,92.56
"        Maintenance, repairs, insurance, other expenses     ","MEAN",1303.89,431.98,547.17,565.36,725.13,833.98,934.91,1006.25,1297.79,2137.18
"        Maintenance, repairs, insurance, other expenses     ","SE",33.65,62.42,134.49,84.34,90.97,73.13,76.47,96.44,155.46,76.59
"          Homeowners insurance                              ","MEAN",345.39,119.18,89.41,148.98,204.79,224.73,300.59,313.45,326.58,546.91
"          Homeowners insurance                              ","SE",11.18,27.47,13.22,18.53,21.23,14.57,23.51,20.91,17.14,25.61
"          Ground rent                                       ","MEAN",71.4,96.96,56.66,56.79,57.79,74.48,64.26,50.45,67.83,83.1
"          Ground rent                                       ","SE",11.97,59.16,18.09,13.73,16.32,13.72,12.84,12.13,26.54,27.83
"          Flooring installation, repair, replacement (new UC","MEAN",77.17,0.22,44.54,27.68,26.41,30.66,31.8,38.26,71.5,154.82
"          Flooring installation, repair, replacement (new UC","SE",9.94,0.19,27.13,15.35,12.7,9.63,15.62,15.97,14.19,28.08
"          Maintenance and repair services                   ","MEAN",653.92,175.35,328.57,257.06,342.33,380.07,429.26,502.23,684.68,1092.71
"          Maintenance and repair services                   ","SE",28.86,62.46,119.58,69.82,73.54,63.03,72.55,103.57,142.84,61.35
"            Painting and papering                           ","MEAN",91.94,22.98,27.75,21.89,53.31,32.35,46.67,30.08,64.38,193.76
"            Painting and papering                           ","SE",13.71,15.29,18.08,20.96,39.35,12.61,20.51,14.08,19.13,38.02
"            Plumbing and water heating                      ","MEAN",84.85,14.87,94.43,88.33,49.32,61.81,67.09,43.78,92.59,121.21
"            Plumbing and water heating                      ","SE",6.59,6.01,69.8,32.59,15.48,14.94,19.18,11.09,21.65,12.78
"            Heat, a/c, electrical work                      ","MEAN",139.74,65.06,47.23,59.8,32.65,106.8,62.3,65.41,159.48,244.67
"            Heat, a/c, electrical work                      ","SE",11.39,44.39,36.21,22.66,6.26,25.42,10.77,12.78,33.85,25.4
"            Roofing and gutters                             ","MEAN",124.82,30.53,74.1,17.28,97.96,80.02,108.31,106.61,212.91,158.77
"            Roofing and gutters                             ","SE",20.22,18.75,55.03,9.81,47.4,32.8,36.57,56.17,108.08,35.39
"            Other repair and maintenance services           ","MEAN",210.86,41.91,84.55,69.71,108.12,97.99,144.35,255.52,152.67,371.36
"            Other repair and maintenance services           ","SE",14.76,15.98,49.63,40.43,29.66,24.88,41.02,74.41,34.94,34.18
"            Repair and replacement of hard surface flooring ","MEAN",0,0,0,0,0,0,0,0,0,0
"            Repair of built-in appliances                   ","MEAN",1.7,0,0.51,0.04,0.97,1.11,0.54,0.83,2.65,2.94
"            Repair of built-in appliances                   ","SE",0.27,0,0.5,0.04,0.92,0.49,0.25,0.49,1.04,0.61
"          Maintenance and repair commodities                ","MEAN",79.76,20.69,10,21.33,25.76,49.52,47.88,48.98,81.8,146.22
"          Maintenance and repair commodities                ","SE",5.33,6.79,3.22,5.6,4.88,9.47,11.17,9.08,14.24,11.76
"            Paints, wallpaper and supplies                  ","MEAN",16.25,2.16,3.87,2.94,7.35,6.19,15.1,11.48,13.2,30.54
"            Paints, wallpaper and supplies                  ","SE",1.45,1.23,2.11,0.92,3.34,1.51,6.12,2.87,2.3,2.61
"            Tools and equipment for painting and wallpaperin","MEAN",1.75,0.23,0.42,0.32,0.79,0.67,1.62,1.23,1.42,3.28
"            Tools and equipment for painting and wallpaperin","SE",0.16,0.13,0.23,0.1,0.36,0.16,0.66,0.31,0.25,0.28
"            Plumbing supplies and equipment                 ","MEAN",8.71,7.91,0.28,2.03,1.5,5.37,8.71,4.87,8.39,14.86
"            Plumbing supplies and equipment                 ","SE",1.13,5.19,0.15,1.53,0.8,2.27,3.49,1.37,1.99,2.72
"            Electrical supplies, heating and cooling        ","MEAN",6.3,0.69,0.02,0.68,2.12,0.68,4.96,2.09,2.99,14.68
"            Electrical supplies, heating and cooling        ","SE",1.27,0.54,0.02,0.61,1.31,0.26,4.27,1.4,1.04,3.99
"            Materials for hard surface flooring, repair and ","MEAN",0,0,0,0,0,0,0,0,0,0
"            Materials and equipment for roof and gutters    ","MEAN",6.99,2.78,1.24,1.69,1.73,3.21,4.31,3.64,12.6,10.99
"            Materials and equipment for roof and gutters    ","SE",2.92,2.14,1.32,1.27,1.36,1.95,2.28,1.84,11.97,4.93
"            Materials for plaster., panel., siding, windows,","MEAN",15.84,3.18,1.25,4.25,3.14,16.05,5.33,14.7,14.92,28.01
"            Materials for plaster., panel., siding, windows,","SE",2.38,1.97,0.75,2.41,1.97,7.9,2.15,7.46,4.24,6.75
"            Materials for patio, walk, fence, driveway,     ","MEAN",1.86,0.08,0.16,0.16,0.02,0.82,0.68,0.38,0.87,4.56
"            Materials for patio, walk, fence, driveway,     ","SE",0.78,0.07,0.12,0.14,0.01,0.45,0.33,0.17,0.3,2.3
"            Materials for landscaping maintenance           ","MEAN",0,0,0,0,0,0,0,0,0,0
"            Miscellaneous supplies and equipment            ","MEAN",22.05,3.65,2.75,9.26,9.11,16.54,7.17,10.6,27.4,39.3
"            Miscellaneous supplies and equipment            ","SE",2.52,2.12,1.86,3.93,2.44,4.37,4.63,3.24,5.61,5.73
"              Material for insulation, other maintenance and","MEAN",21.78,3.65,2.75,9.26,9.11,16.54,7.17,10.6,27.4,38.48
"              Material for insulation, other maintenance and","SE",2.52,2.12,1.86,3.93,2.44,4.37,4.63,3.24,5.61,5.74
"              Materials to finish basement, remodel rooms or","MEAN",0.27,0,0,0,0,0,0,0,0,0.83
"              Materials to finish basement, remodel rooms or","SE",0.28,0,0,0,0,0,0,0,0,0.83
"          Property management and security                  ","MEAN",71.45,18.75,17.26,46.57,64.48,66.59,58.39,49.62,61.48,107.42
"          Property management and security                  ","SE",6.45,6.66,5.03,20.68,15.96,11.32,8.54,13.56,10.7,8.13
"            Property management                             ","MEAN",66.51,18.39,16.41,44,51.19,61.17,49.8,47.13,58.07,102.5
"            Property management                             ","SE",6.27,6.57,4.94,18.94,11.42,11.07,7.36,13.47,10.07,8.04
"            Management and upkeep services for security     ","MEAN",4.94,0.35,0.85,2.57,13.29,5.42,8.59,2.49,3.41,4.92
"            Management and upkeep services for security     ","SE",0.59,0.22,0.48,1.93,6.14,0.99,1.75,0.57,0.93,0.92
"          Parking                                           ","MEAN",4.81,0.83,0.73,6.95,3.56,7.92,2.73,3.28,3.93,6.01
"          Parking                                           ","SE",0.55,0.56,0.55,5.02,1.38,2.65,0.9,0.97,0.97,1.25
"      Rented dwellings                                      ","MEAN",3625.65,3986.45,3860.71,3586.08,3674.15,4068.52,3889.17,4246.79,3830.08,3055.73
"      Rented dwellings                                      ","SE",48.31,332.69,184.11,209.69,140.09,126.39,162.34,139.05,132.71,118.85
"        Rent                                                ","MEAN",3463.36,3639.5,3482.09,3262.08,3486.54,3940.4,3759.56,4124.7,3666.4,2949.98
"        Rent                                                ","SE",46.03,319.88,192.6,199.7,133.33,119.94,160.46,137.82,123.26,115.96
"        Rent as pay                                         ","MEAN",103.44,329.85,367.36,304.38,153.55,83.77,74.32,66.86,54.82,36.94
"        Rent as pay                                         ","SE",10.23,62.82,70.63,37.16,42.67,21.79,17.11,19.81,20.1,13.82
"        Maintenance, insurance and other expenses           ","MEAN",58.85,17.11,11.25,19.62,34.06,44.35,55.29,55.24,108.86,68.81
"        Maintenance, insurance and other expenses           ","SE",8.06,4.93,3.37,5.8,14.75,8.59,11.61,16,48.62,9.46
"          Tenant''s insurance                               ","MEAN",17.12,9.88,5.2,8.59,12.42,18.27,18.27,19.99,18.99,19.84
"          Tenant''s insurance                               ","SE",1.41,3.54,1.47,1.98,2.55,3.39,2.88,3.11,2.3,3.18
"          Flooring installation, repair, replacement (new UC","MEAN",3.08,0.33,0,0,1.46,6.49,0.43,2.6,7.45,2.64
"          Flooring installation, repair, replacement (new UC","SE",0.76,0.35,0,0,1.16,3.54,0.29,1.98,5.27,1.46
"          Maintenance and repair services                   ","MEAN",26.11,2.83,3.94,9.03,14.21,9.62,18.52,23.1,55.55,34.16
"          Maintenance and repair services                   ","SE",5.95,0.98,2.82,5.42,13.71,5.9,6.26,15.41,35.35,7.45
"            Repair or maintenance services                  ","MEAN",26.01,2.61,3.94,8.94,14.21,9.6,18.37,22.89,55.37,34.08
"            Repair or maintenance services                  ","SE",5.95,0.95,2.82,5.42,13.71,5.89,6.25,15.4,35.34,7.45
"            Repair and replacement of hard surface flooring ","MEAN",0,0,0,0,0,0,0,0,0,0
"            Repair of built-in appliances                   ","MEAN",0.1,0.22,0,0.09,0,0.02,0.14,0.21,0.17,0.07
"            Repair of built-in appliances                   ","SE",0.04,0.22,0,0.09,0,0.02,0.1,0.21,0.12,0.07
"          Maintenance and repair commodities                ","MEAN",12.54,4.07,2.12,2,5.97,9.97,18.06,9.55,26.88,12.17
"          Maintenance and repair commodities                ","SE",3.08,1.71,0.83,0.86,2.42,4.89,8.57,3.05,12.81,4.77
"            Paint, wallpaper, and supplies                  ","MEAN",1.59,2.54,0.28,0.11,1.24,2.01,1.69,1.73,2.79,1.24
"            Paint, wallpaper, and supplies                  ","SE",0.34,1.29,0.17,0.04,0.76,1.02,0.72,0.65,1.29,0.47
"            Tools and equipment for painting and wallpaperin","MEAN",0.17,0.27,0.03,0.01,0.13,0.22,0.18,0.19,0.3,0.13
"            Tools and equipment for painting and wallpaperin","SE",0.04,0.14,0.02,0,0.08,0.11,0.08,0.07,0.14,0.05
"            Materials for plastering, panels, roofing,      ","MEAN",0.52,0,0.05,0.52,0.08,0,0.43,0.59,2,0.31
"            Materials for plastering, panels, roofing,      ","SE",0.15,0,0.05,0.35,0.08,0,0.24,0.45,0.91,0.15
"            Materials for patio, walk, fence, driveway,     ","MEAN",0.02,0,0,0,0,0,0.01,0.07,0.07,0.01
"            Materials for patio, walk, fence, driveway,     ","SE",0.01,0,0,0,0,0,0.01,0.07,0.07,0
"            Plumbing supplies and equipment                 ","MEAN",0.7,0.15,0.16,0.25,0.47,1.32,2.56,0.37,0.88,0.2
"            Plumbing supplies and equipment                 ","SE",0.19,0.11,0.12,0.18,0.36,0.95,1.41,0.28,0.38,0.11
"            Electrical supplies, heating and cooling        ","MEAN",0.44,0,0.4,0.27,0.03,0.01,0.3,0,0.41,0.93
"            Electrical supplies, heating and cooling        ","SE",0.26,0,0.28,0.27,0.03,0.01,0.19,0,0.22,0.76
"            Miscellaneous supplies and equipment            ","MEAN",8.37,0.71,1,0.58,3.2,5.64,11.15,6.34,19.3,8.85
"            Miscellaneous supplies and equipment            ","SE",3.04,0.59,0.67,0.4,1.96,4.72,8.64,2.98,12.49,4.57
"              Material for insulation, other maintenance and","MEAN",2.1,0.66,0.37,0.2,3.06,5.14,0.97,0.85,4.43,1.31
"              Material for insulation, other maintenance and","SE",1.02,0.59,0.2,0.11,1.96,4.69,0.55,0.45,3.49,0.4
"              Materials for additions, finishing basements, ","MEAN",6.2,0.05,0.63,0,0,0.44,9.97,5.49,14.82,7.55
"              Materials for additions, finishing basements, ","SE",2.89,0.05,0.63,0,0,0.45,8.6,2.8,12.05,4.54
"              Construction materials for jobs not started   ","MEAN",0.07,0,0,0.38,0.14,0.06,0.2,0,0.05,0
"              Construction materials for jobs not started   ","SE",0.03,0,0,0.38,0.14,0.06,0.2,0,0.05,0
"            Material for hard surface flooring (thru Q20131)","MEAN",0,0,0,0,0,0,0,0,0,0
"            Material for landscape maintenance              ","MEAN",0.72,0.39,0.2,0.27,0.82,0.77,1.75,0.27,1.12,0.5
"            Material for landscape maintenance              ","SE",0.17,0.4,0.2,0.27,0.74,0.54,0.85,0.22,0.69,0.3
"      Other lodging                                         ","MEAN",706.41,144.43,114.3,173.55,209.71,213.33,324.76,420.88,432.98,1542.36
"      Other lodging                                         ","SE",35.88,33.38,21.95,37.51,48.36,26.25,36.68,46.09,34.94,94.36
"        Owned vacation homes                                ","MEAN",255.09,9.65,16.36,40.2,86.58,75.22,75.67,169.28,121.47,592.21
"        Owned vacation homes                                ","SE",26.7,4.54,9.71,13.33,33.11,14.64,16.81,33.43,20.14,75.67
"          Mortgage interest and charges                     ","MEAN",94.37,0,0,1.86,6.49,12.51,22.79,40.53,32.35,246.01
"          Mortgage interest and charges                     ","SE",16.15,0,0,1.47,3.65,6.28,11.33,9.2,10.84,46.04
"            Mortgage interest                               ","MEAN",92.13,0,0,1.86,6.49,12.51,20.1,39.01,31.76,240.77
"            Mortgage interest                               ","SE",15.99,0,0,1.47,3.65,6.28,9.19,8.84,10.62,45.77
"            Interest paid, home equity loan                 ","MEAN",0.75,0,0,0,0,0,2.68,0.95,0.49,0.96
"            Interest paid, home equity loan                 ","SE",0.35,0,0,0,0,0,2.7,0.62,0.35,0.6
"            Interest paid, home equity line of credit       ","MEAN",1.49,0,0,0,0,0,0,0.57,0.1,4.27
"            Interest paid, home equity line of credit       ","SE",0.89,0,0,0,0,0,0,0.58,0.08,2.66
"          Property taxes                                    ","MEAN",100.41,6.4,14,35.52,49.23,47.71,31.15,88.92,69.56,203.1
"          Property taxes                                    ","SE",8.3,3.02,9.08,12.15,20.18,12.74,7.84,19.88,11.37,19.42
"          Flooring installation, repair, replacement (new UC","MEAN",1.17,0,0,0,0,0,0,0,1.87,2.7
"          Flooring installation, repair, replacement (new UC","SE",0.69,0,0,0,0,0,0,0,1.9,1.91
"          Maintenance, insurance, and other expenses        ","MEAN",59.15,3.25,2.36,2.82,30.86,15,21.73,39.83,17.68,140.39
"          Maintenance, insurance, and other expenses        ","SE",9.5,2.26,2.02,1.51,13.33,5.08,6.37,18.22,3.81,28.67
"            Homeowners insurance                            ","MEAN",12.08,0.72,0,0,11.95,3.16,6.98,7.81,5.15,26.34
"            Homeowners insurance                            ","SE",1.87,0.73,0,0,9.25,1.67,3.47,3.14,1.66,4.74
"            Ground rent                                     ","MEAN",5.34,0,0,0,3.79,0.64,3.45,4.37,0.92,12.46
"            Ground rent                                     ","SE",1.9,0,0,0,3.72,0.73,2.22,3.07,0.75,5.68
"            Maintenance and repair services                 ","MEAN",26.88,1.52,0.76,0.26,6.88,5.71,3.29,17.06,3.35,70.14
"            Maintenance and repair services                 ","SE",8.41,1.24,0.73,0.25,5.02,2.22,1.57,12.41,1.08,25.29
"              Repair and remodeling services                ","MEAN",26.88,1.52,0.76,0.26,6.88,5.71,3.29,17.06,3.35,70.14
"              Repair and remodeling services                ","SE",8.41,1.24,0.73,0.25,5.02,2.22,1.57,12.41,1.08,25.29
"              Repair and replacement of hard surface floorin","MEAN",0,0,0,0,0,0,0,0,0,0
"            Maintenance and repair commodities              ","MEAN",1.58,0,0,0,0,0.01,0.16,2.07,2.26,3.17
"            Maintenance and repair commodities              ","SE",0.71,0,0,0,0,0.01,0.16,0.94,2.29,1.87
"              Paints, wallpaper, supplies                   ","MEAN",0.19,0,0,0,0,0,0,0.1,0.4,0.36
"              Paints, wallpaper, supplies                   ","SE",0.08,0,0,0,0,0,0,0.1,0.41,0.17
"              Tools and equipment for painting and          ","MEAN",0.02,0,0,0,0,0,0,0.01,0.04,0.04
"              Tools and equipment for painting and          ","SE",0.01,0,0,0,0,0,0,0.01,0.04,0.02
"              Materials for plastering, paneling, roofing,  ","MEAN",1,0,0,0,0,0,0,0,1.81,2.24
"              Materials for plastering, paneling, roofing,  ","SE",0.59,0,0,0,0,0,0,0,1.84,1.6
"              Material for patio, walk, fence, drive,       ","MEAN",0.11,0,0,0,0,0,0,0,0,0.32
"              Material for patio, walk, fence, drive,       ","SE",0.09,0,0,0,0,0,0,0,0,0.27
"              Plumbing supplies and equipment               ","MEAN",0.19,0,0,0,0,0,0,1.4,0,0.19
"              Plumbing supplies and equipment               ","SE",0.09,0,0,0,0,0,0,0.8,0,0.14
"              Electrical supplies, heating and cooling      ","MEAN",0.03,0,0,0,0,0,0,0.36,0,0
"              Electrical supplies, heating and cooling      ","SE",0.03,0,0,0,0,0,0,0.36,0,0
"              Miscellaneous supplies and equipment          ","MEAN",0.04,0,0,0,0,0.01,0.16,0.2,0,0.02
"              Miscellaneous supplies and equipment          ","SE",0.03,0,0,0,0,0.01,0.16,0.21,0,0.02
"                Material for insulation, other maintenance  ","MEAN",0.04,0,0,0,0,0.01,0.16,0.2,0,0.02
"                Material for insulation, other maintenance  ","SE",0.03,0,0,0,0,0.01,0.16,0.21,0,0.02
"                Material for finishing basements and        ","MEAN",0,0,0,0,0,0,0,0,0,0
"              Materials for hard surface flooring (thru     ","MEAN",0,0,0,0,0,0,0,0,0,0
"              Materials for landscaping maintenance         ","MEAN",0,0,0,0,0,0,0,0,0,0
"            Property management and security                ","MEAN",12.69,0.16,1.6,2.21,8.24,5.44,7.43,8.4,5.7,27.03
"            Property management and security                ","SE",1.51,0.16,1.3,1.26,3.71,2.33,3.82,5.05,1.77,4.23
"              Property management                           ","MEAN",11.73,0,1.6,2.2,8.08,4.64,7.23,8.25,5.31,24.73
"              Property management                           ","SE",1.4,0,1.3,1.26,3.69,2,3.8,5.06,1.73,4.05
"              Management and upkeep services for security   ","MEAN",0.97,0.16,0,0.01,0.16,0.8,0.2,0.14,0.39,2.3
"              Management and upkeep services for security   ","SE",0.28,0.16,0,0.01,0.16,0.61,0.17,0.11,0.26,0.79
"            Parking                                         ","MEAN",0.58,0.85,0,0.35,0,0.05,0.41,0.13,0.3,1.25
"            Parking                                         ","SE",0.14,0.87,0,0.34,0,0.04,0.3,0.1,0.16,0.4
"        Housing while attending school                      ","MEAN",59.32,42.24,19.06,47.9,4.93,23.78,27.78,8.4,16.93,133.15
"        Housing while attending school                      ","SE",7.3,23.49,13.27,25.5,3.82,14,13.73,4.94,6.67,20.1
"        Lodging on out-of-town trips                        ","MEAN",392,92.55,78.88,85.46,118.2,114.33,221.31,243.2,294.58,816.99
"        Lodging on out-of-town trips                        ","SE",14.5,21.66,14.52,20.72,26.69,13.48,28.08,30.27,29.86,36.36
"    Utilities, fuels, and public services                   ","MEAN",3919.52,2253.63,2062.29,2413.54,2817.44,3165.05,3475.98,3736.57,4113.79,5257.09
"    Utilities, fuels, and public services                   ","SE",34.92,132.95,94.97,88.93,68.35,51.7,57.17,51.71,42.83,49.57
"      Natural gas                                           ","MEAN",438.98,198.45,213.27,235.85,295.7,323.86,367.95,431.55,443.96,630.45
"      Natural gas                                           ","SE",14.64,18.85,21.43,14.36,21.67,19.79,19.78,24.03,18.13,21.66
"        Utility-natural gas (renter)                        ","MEAN",88.86,84.13,110.53,88.89,83.17,100.92,116.35,107.94,93.79,68.19
"        Utility-natural gas (renter)                        ","SE",4.67,12.08,13.1,9.23,8.16,9.36,12.3,8.54,8.25,5.13
"        Utility-natural gas (owned home)                    ","MEAN",344.06,112.02,100.76,146.24,209.4,219.03,248.61,318.03,346.61,550.65
"        Utility-natural gas (owned home)                    ","SE",11.11,15.41,15.79,11.39,18.84,16,15.18,20.83,16.03,19.96
"        Utility-natural gas (owned vacation)                ","MEAN",3.94,0.38,0,0.08,2.48,1.39,0.39,5.32,2.98,8
"        Utility-natural gas (owned vacation)                ","SE",0.8,0.38,0,0.08,1.9,0.58,0.27,3.76,1.29,2.1
"        Utility-natural gas (rented vacation)               ","MEAN",2.13,1.93,1.99,0.64,0.66,2.52,2.6,0.26,0.58,3.61
"        Utility-natural gas (rented vacation)               ","SE",0.7,0.8,0.93,0.21,0.46,0.82,2.12,0.18,0.42,1.99
"      Electricity                                           ","MEAN",1483.79,1046.99,948.97,1082,1185.84,1299.76,1429.52,1438.46,1529.5,1820.65
